ID_incidencia,Marca de tiempo,Status,Status viaje,Tipo incidente,Ref. Tourplan,Agencia,Proveedor,Servicio,Impacto,PAX PIDIÓ CAMBIO/CXL?,año,mes
INC_0081,2025-12-28 15:14:20,En proceso,En tránsito,Cancelación,WPFI109101,Agencia 17,Sin Informacion,Sin Informacion,Medio,No Informado,2025,December
INC_0082,2025-12-28 15:48:42,En proceso,En tránsito,Modificación,WPFI109321,Agencia 19,Sin Informacion,Sin Informacion,Bajo,No Informado,2025,December
INC_0083,2025-12-29 13:22:10,Pendiente,En tránsito,Informativo,WPFI108455,Agencia 17,P-001,Sin Informacion,Alto,No Informado,2025,December
INC_0084,2025-12-30 14:02:41,Resuelto,En tránsito,Cancelación,WPFI110539,No Informado,P-010,Trek Laguna de Los Tres SIB,Bajo,No Informado,2025,December
INC_0085,2025-12-30 14:09:54,En proceso,En tránsito,Informativo,WPFI106714,Agencia 18,P-010,Trek Laguna de Los Tres SIB,Medio,No Informado,2025,December
INC_0086,2025-12-30 14:59:09,Resuelto,En tránsito,Informativo,WPFI109683,Agencia 22,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,No Informado,2025,December
INC_0087,2025-12-30 16:22:02,En proceso,En tránsito,Queja,WPFI106035,Agencia 2,P-009,Box Lunch,Alto,NO,2025,December
INC_0088,2026-01-02 15:15:12,En proceso,En tránsito,Queja,WPFI108605,Agencia 2,P-001,Transfer Bus Station/Hotel - Private,Alto,NO,2026,January
INC_0089,2026-01-02 15:25:07,En proceso,En tránsito,Queja,WPFI110405,Agencia 11,P-009,Box Lunch,Alto,No Informado,2026,January
INC_0090,2026-01-02 21:02:00,En proceso,En tránsito,Queja,WPFI109056,Agencia 2,P-018,Accommodation,Bajo,No Informado,2026,January
INC_0091,2026-01-03 12:10:45,En proceso,En tránsito,Cancelación,WPFI110564,Agencia 11,G-001,Trek Laguna Torre SIB,Medio,No Informado,2026,January
INC_0092,2026-01-04 11:34:32,En proceso,En tránsito,Cancelación,WPFI110490,Agencia 11,P-010,Trek Laguna de Los Tres SIB,Bajo,No Informado,2026,January
INC_0093,2026-01-04 11:56:58,En proceso,En tránsito,Cancelación,WPFI108591,Agencia 2,G-015,Trek Laguna Torre SIB,Medio,SI,2026,January
INC_0094,2026-01-04 12:16:32,En proceso,En tránsito,Cancelación,WPFI108527,Agencia 2,G-015,Trek Laguna Torre SIB,Medio,SI,2026,January
INC_0095,2026-01-04 15:14:45,En proceso,En tránsito,Modificación,WPFI109185,Agencia 2,Sin Informacion,Sin Informacion,Medio,SI,2026,January
INC_0096,2026-01-04 21:15:01,Resuelto,En tránsito,Informativo,WPFI108605,Agencia 2,Sin Informacion,Accommodation,Bajo,SI,2026,January
INC_0097,2026-01-05 12:00:54,En proceso,En tránsito,Cancelación,WPFI107473,Agencia 24,P-007,Sin Informacion,Medio,No Informado,2026,January
INC_0098,2026-01-05 15:17:26,Resuelto,En tránsito,Cancelación,WPFI109552,Agencia 2,Sin Informacion,Trek Laguna Torre SIB,Bajo,SI,2026,January
INC_0099,2026-01-05 15:57:50,Pendiente,En tránsito,Modificación,WPFI109692,Agencia 2,Sin Informacion,Trek Laguna de Los Tres SIB,Bajo,SI,2026,January
INC_0100,2026-01-07 12:50:35,En proceso,En tránsito,Cancelación,WPFI109692,Agencia 2,G-021,Trek Laguna Torre SIB,Medio,SI,2026,January
INC_0101,2026-01-07 13:05:26,En proceso,En tránsito,Modificación,WPFI110461,Agencia 5,P-010,Trek Laguna de Los Tres SIB,Alto,No Informado,2026,January
INC_0102,2026-01-08 14:16:19,En proceso,En tránsito,Modificación,WPFI108880,Agencia 2,P-002,Mountain Bike,Medio,NO,2026,January
INC_0103,2026-01-08 15:07:35,Resuelto,En tránsito,Cancelación,WPFI110609,Agencia 11,G-022,Trek Laguna Torre SIB,Medio,No Informado,2026,January
INC_0104,2026-01-08 22:03:31,Resuelto,En tránsito,Informativo,WPFI110064,Agencia 11,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,No Informado,2026,January
INC_0105,2026-01-09 10:35:26,En proceso,En tránsito,Cancelación,WPFI110584,Cliente Directo,G-004,Trek Loma del Pliegue Tumbado,Bajo,No Informado,2026,January
INC_0106,2026-01-09 22:29:13,Resuelto,En tránsito,Cancelación,WPFI109990,Agencia 11,Sin Informacion,Trek Laguna de Los Tres SIB,Bajo,No Informado,2026,January
INC_0107,2026-01-10 13:16:18,En proceso,En tránsito,Cancelación,WPFI110584,Cliente Directo,P-010,Trek Laguna de Los Tres SIB,Medio,No Informado,2026,January
INC_0108,2026-01-10 13:43:59,En proceso,En tránsito,Cancelación,WPFI110465,Agencia 11,P-007,Kayak Lago del Desierto con traslado privado,Alto,No Informado,2026,January
INC_0109,2026-01-11 15:15:28,En proceso,En tránsito,Modificación,WPFI109952,Agencia 14,Sin Informacion,Sin Informacion,Alto,No Informado,2026,January
INC_0110,2026-01-11 23:04:15,En proceso,En tránsito,Informativo,WPGR107109,Agencia 25,Sin Informacion,Sin Informacion,Bajo,No Informado,2026,January
INC_0111,2026-01-12 16:24:03,Resuelto,En tránsito,Modificación,WPGR108693,Agencia 11,Sin Informacion,Treks SIB,Bajo,No Informado,2026,January
INC_0112,2026-01-13 11:58:39,En proceso,En tránsito,Cancelación,WPFI107974,Agencia 2,G-007,Trek Laguna Torre SIB,Medio,SI,2026,January
INC_0113,2026-01-13 14:30:49,Pendiente,En tránsito,Cancelación,WPFI106172,Agencia 11,P-001,Transfer Hotel/Bus Station - Private,Alto,No Informado,2026,January
INC_0114,2026-01-13 19:49:44,En proceso,En tránsito,Informativo,WPFI107537,Agencia 2,Sin Informacion,Sin Informacion,Medio,No Informado,2026,January
INC_0115,2026-01-14 15:39:54,En proceso,En tránsito,Informativo,WPFI110059,Agencia 17,Sin Informacion,Sin Informacion,Medio,No Informado,2026,January
INC_0116,2026-01-14 16:30:01,En proceso,En tránsito,Cancelación,WPFI106748,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2026,January
INC_0117,2026-01-16 16:36:46,En proceso,En tránsito,Queja,WPFI109516,Agencia 11,G-016,Trek Laguna de Los Tres SIB,Alto,No Informado,2026,January
INC_0118,2026-01-16 17:26:49,Resuelto,En tránsito,Modificación,WPFI106109,Agencia 2,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,SI,2026,January
INC_0119,2026-01-16 17:49:39,En proceso,En tránsito,Cancelación,WPFI109648,Agencia 2,P-010,Trek Laguna de Los Tres SIB,Bajo,SI,2026,January
INC_0120,2026-01-16 18:06:00,Resuelto,En tránsito,Cancelación,WPFI109817,Agencia 11,P-010,Trek Laguna de Los Tres SIB,Bajo,No Informado,2026,January
INC_0121,2026-01-16 18:50:52,En proceso,En tránsito,Informativo,WPFI107982,Agencia 2,Sin Informacion,Moreno Glacier - Private transport,Medio,No Informado,2026,January
INC_0122,2026-01-18 12:17:22,En proceso,En tránsito,Informativo,WPFI110484,Agencia 11,P-001,Trek Laguna de Los Tres - Private guide & private transport,Bajo,No Informado,2026,January
INC_0123,2026-01-18 17:51:56,En proceso,En tránsito,Modificación,WPFI108764,Agencia 2,P-019,Sin Informacion,Medio,No Informado,2026,January
INC_0124,2026-01-18 21:25:50,En proceso,En tránsito,Informativo,WPFI110739,No Informado,Sin Informacion,Sin Informacion,Medio,No Informado,2026,January
INC_0125,2026-01-19 11:25:32,Resuelto,En tránsito,Cancelación,WPFI110505,Agencia 2,G-025,Trek Laguna Torre SIB,Bajo,SI,2026,January
INC_0126,2026-01-20 10:29:53,En proceso,En tránsito,Cancelación,WPFI110464,Agencia 20,P-001,Transfer Hotel/Bus Station - Private,Medio,No Informado,2026,January
INC_0127,2026-01-20 16:24:00,En proceso,En tránsito,Cancelación,WPFI109741,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2026,January
INC_0128,2026-01-21 12:00:34,En proceso,En tránsito,Cancelación,WPFI107056,Agencia 4,P-001,Transfer El Chaltén/Río Eléctrico bridge - Private,Bajo,No Informado,2026,January
INC_0129,2026-01-21 14:03:24,En proceso,En tránsito,Informativo,WPGR108726,Agencia 11,P-001,Trek Laguna de Los Tres - Private guide & private transport,Bajo,No Informado,2026,January
INC_0130,2026-01-23 12:34:20,En proceso,En tránsito,Cancelación,WPFI110459,Agencia 11,P-010,Trek Laguna de Los Tres SIB,Medio,No Informado,2026,January
INC_0131,2026-01-23 13:28:33,En proceso,En tránsito,Cancelación,WPFI109787,Agencia 2,P-004,Moreno Glacier - Private transport/SIB boat ride + walkways,Alto,SI,2026,January
INC_0132,2026-01-23 17:17:20,En proceso,En tránsito,Modificación,WPFI110504,Agencia 20,Sin Informacion,Trek Laguna de Los Tres SIB,Bajo,No Informado,2026,January
INC_0133,2026-01-23 22:09:15,Resuelto,En tránsito,Cancelación,WPFI109364,Agencia 11,Sin Informacion,Bastones telescópicos,Bajo,No Informado,2026,January
INC_0134,2026-01-23 22:32:25,En proceso,En tránsito,Cancelación,WPFI110476,Agencia 11,P-001,Transfer El Chaltén/Río Eléctrico bridge - Private,Bajo,No Informado,2026,January
INC_0135,2026-01-25 10:38:40,En proceso,En tránsito,Cancelación,WPFI107488,Agencia 2,G-005,Trek Laguna Torre SIB,Medio,SI,2026,January
INC_0136,2026-01-25 11:07:20,En proceso,En tránsito,Cancelación,WPFI109787,Agencia 2,P-010,Trek Laguna de Los Tres SIB,Medio,SI,2026,January
INC_0137,2026-01-25 15:32:26,En proceso,En tránsito,Informativo,WPFI109488,Agencia 11,Sin Informacion,Sin Informacion,Alto,No Informado,2026,January
INC_0138,2026-01-25 15:53:29,En proceso,En tránsito,Modificación,WPFI109077,Agencia 2,Sin Informacion,Sin Informacion,Bajo,SI,2026,January
INC_0139,2026-01-25 20:00:03,Resuelto,En tránsito,Cancelación,WPFI107583,Agencia 17,P-001,Transfer Lago del Desierto (Punta Sur) /El Chaltén - Private,Bajo,No Informado,2026,January
INC_0140,2026-01-26 17:13:30,Resuelto,En tránsito,Informativo,WPFI106154,Agencia 2,P-022,Shuttle|El Chaltén / El Calafate Airport,Alto,NO,2026,January
INC_0141,2026-01-27 11:14:06,En proceso,En tránsito,Cancelación,WPFI109468,Agencia 11,P-010,Trek Laguna de Los Tres SIB,Alto,No Informado,2026,January
INC_0142,2026-01-27 22:09:11,En proceso,En tránsito,Cancelación,WPFI109585,Agencia 2,Sin Informacion,Sin Informacion,Medio,NO,2026,January
INC_0143,2026-01-28 22:12:32,En proceso,En tránsito,Modificación,WPFI110339,Agencia 2,Sin Informacion,Sin Informacion,Medio,SI,2026,January
INC_0144,2026-01-29 12:04:27,En proceso,En tránsito,Cancelación,WPFI109862,Agencia 2,G-001,Trek Laguna Torre SIB,Alto,SI,2026,January
INC_0145,2026-01-29 12:25:28,En proceso,En tránsito,Queja,WPFI109862,Agencia 2,G-026,Trek Laguna de Los Tres SIB,Alto,SI,2026,January
INC_0146,2026-01-29 23:33:12,Resuelto,En tránsito,Cancelación,WPFI110314,Agencia 2,G-021,Trek Laguna Torre - Privado,Medio,SI,2026,January
INC_0147,2026-01-30 19:57:49,En proceso,En tránsito,Queja,WPFI104953,Agencia 2,P-017,Accommodation,Medio,NO,2026,January
INC_0148,2026-01-30 22:35:45,Resuelto,En tránsito,Modificación,WPFI109585,Agencia 2,G-018,Trek Laguna Torre SIB,Bajo,SI,2026,January
INC_0149,2026-01-30 23:11:34,En proceso,En tránsito,Modificación,WPFI107206,Agencia 2,P-020,Rafting,Medio,SI,2026,January
INC_0149,2026-01-30 23:11:34,En proceso,En tránsito,Modificación,WPFI107206,Agencia 2,P-001,Private transfer,Medio,No Informado,2026,January
INC_0149,2026-01-30 23:11:34,En proceso,En tránsito,Modificación,WPFI107206,Agencia 2,P-021,Visit to the Refugee,Medio,No Informado,2026,January
INC_0150,2026-02-01 15:39:54,En proceso,En tránsito,Cancelación,WPFI108265,Agencia 11,Sin Informacion,Welcome Briefing,Medio,No Informado,2026,February
INC_0151,2026-02-01 15:47:06,En proceso,En tránsito,Modificación,WPFI107696,Agencia 2,Sin Informacion,Sin Informacion,Medio,SI,2026,February
INC_0152,2026-02-01 20:22:52,Resuelto,En tránsito,Cancelación,WPFI109442,Agencia 11,G-006,Trek Laguna Torre - Private guide,Bajo,No Informado,2026,February
INC_0153,2026-02-03 12:42:26,En proceso,En tránsito,Cancelación,WPFI108158,Agencia 2,G-002,Trek Laguna Torre,Bajo,SI,2026,February
INC_0154,2026-02-05 13:43:03,En proceso,En tránsito,Cancelación,WPFI110086,Agencia 2,P-011,Transfer hotel FTE / Aeropuerto,Medio,SI,2026,February
